cif_file,formula,volume,density,n_atoms,metal,CN_metal,spacegroup,spg_number
qmof-5fa242c.cif,Mn4 H40 C64 N16 O16,1900.945704,1.318032382,140,Mn,6,P2_1,4
qmof-a58103e.cif,Fe8 H104 C160 N16 O40,3639.14884,1.522842762,328,Fe,6,Pcca,54
qmof-ed94e56.cif,Ni2 H40 C56 N12,1104.291114,1.501284958,110,Ni,6,C2/c,15
qmof-4aae0f6.cif,Co4 P4 H16 C20 N4 O12,645.7944012,2.221584151,60,Co,4,P2_1/c,14
qmof-07f54ba.cif,Mn3 H72 C120 N24,2921.345753,1.145261546,219,Mn,6,R-3,148
qmof-c717f0f.cif,Ni4 H88 C128 N16 O28,3633.803846,1.157473891,264,Ni,6,P-1,2
qmof-04b3122.cif,Cr2 H10 C16 O10,790.0572658,0.979934563,38,Cr,6,Imma,74
qmof-631fbdf.cif,Co1 H24 C30 N4 O14,690.5165153,1.73976843,73,Co,6,P-1,2
qmof-04b3678.cif,Co1 H14 C18 N8 O4,501.4276945,1.540858569,45,Co,6,P-1,2
qmof-04f1cc1.cif,Co4 H56 C80 N16 Cl8,2736.062474,1.068622691,164,Co,4,P2_1/c,14
qmof-7a6767f.cif,Co8 H92 C136 N20 O40,3272.4928,1.582024671,296,Co,5,P1,1
qmof-264d2ec.cif,Co4 H36 C40 N12 O8,1031.460985,1.688005786,100,Co,4,P2_1/c,14
qmof-3b5f49c.cif,Fe24 H120 C192 O128,6903.270821,1.398812869,464,Fe,6,Pa-3,205
qmof-fedf897.cif,Co2 H44 C60 N12 O8,1628.983657,1.201770735,126,Co,6,P-1,2
qmof-c68ff44.cif,Co2 H28 C28 N4 O8,677.694215,1.632890367,70,Co,6,P-1,2
qmof-e09b77b.cif,Co8 H160 C160 N32 O32,4356.293264,1.339717491,392,Co,6,P2_1/c,14
qmof-6af7b79.cif,Mn3 H56 C84 N14 O18,1939.418112,1.467740984,175,Mn,5.333333333,P-1,2
qmof-bff6e3a.cif,Mn3 H16 C8 N6 O16,490.607815,2.08852743,49,Mn,6,P1,1
qmof-d655f8d.cif,Co2 H48 C44 S2 N8 O14,1089.731528,1.668404926,118,Co,6,P2_1,4
qmof-a12ff29.cif,Co4 H16 C48 N4 O12 F16,1496.687077,1.531485205,100,Co,5,P2/c,13
qmof-04c8310.cif,Co4 H28 C48 N8 Cl8 O18,1545.418213,1.63767097,114,Co,6,C2/c,15
qmof-b6b211e.cif,Mn2 H24 C20 N12 O16,1037.792256,1.277417292,74,Mn,6,P1,1
qmof-57bd41b.cif,Mn4 H36 C36 N36,1190.478876,1.663587575,112,Mn,6,C2/c,15
qmof-5a1b056.cif,Mn2 H14 C12 N18 O10,578.2855298,1.953271952,56,Mn,6,Cc,9
qmof-f03e892.cif,Co2 H34 C54 N6 O20,1299.987847,1.538877264,116,Co,6,P-1,2
qmof-f6a044d.cif,Co2 H12 C28 N8 Cl4 O8,781.5943455,1.801880785,62,Co,6,P1,1
qmof-a7453c3.cif,Ni2 H44 C28 S4 N16,923.1144784,1.52974238,94,Ni,6,P2_1/c,14
qmof-6759cff.cif,Co4 H28 C28 N4 O20,912.0084319,1.777542389,84,Co,6,P-1,2
qmof-f0067ee.cif,Co4 H156 C128 N8 O26,3132.311728,1.303265691,322,Co,6,P1,1
qmof-772110c.cif,Co24 H96 C120 N16 O88,5989.701904,1.270970915,344,Co,6,P2_12_12_1,19
qmof-0d1ec57.cif,Ni2 H44 C44 N8 O16,1116.551986,1.573833629,114,Ni,6,Cm,8
qmof-d06ef43.cif,Co2 H56 C52 N8 O8,1179.556385,1.462550677,126,Co,4,P-1,2
qmof-f26628c.cif,Ni6 H52 C60 N24 O28,3111.011488,1.019143032,170,Ni,6,P2_1/c,14
qmof-f07f203.cif,Co1 H14 C10 N8 O2,362.1906426,1.545981435,35,Co,6,P1,1
qmof-f063351.cif,Co4 H56 C80 N16 O16,2493.943344,1.153968384,172,Co,4.5,Pc,7
qmof-7960965.cif,Co4 H52 C102 O24 F36,2683.095841,1.59745528,218,Co,4.75,Pc,7
qmof-3dafa19.cif,Ni8 H54 C72 N24 O6,4037.765183,0.748850259,164,Ni,6,Fm-3m,225
qmof-6699c35.cif,Co2 H24 C24 N4 Cl4,634.2854268,1.644483393,58,Co,4,P-1,2
qmof-a8b48f9.cif,Mn2 H12 C16 N8 O8,472.9274872,1.94587214,46,Mn,6,P-1,2
qmof-c8f59a6.cif,Mn2 H28 C36 N8 O20,874.176943,1.90434247,94,Mn,6,P-1,2
qmof-5d122a4.cif,Co2 H124 C112 N4 Cl4 O12,2894.223341,1.134794452,258,Co,4,P-1,2
qmof-2a537d2.cif,Mn2 P2 H30 C40 N4 O10,923.925002,1.614862651,88,Mn,5,P-1,2
qmof-93ffe42.cif,Co2 H28 C40 N10 O10,881.575891,1.745304634,90,Co,6,P-1,2
qmof-0abe557.cif,Fe2 H6 C8 N16,340.0437405,2.138550188,32,Fe,6,C2/m,12
qmof-d0d4f76.cif,Mn1 H46 C48 N6 O10 F4,1050.05562,1.577973656,115,Mn,6,P-1,2
qmof-ed9f93b.cif,Mn4 H84 C96 S4 N16 O28,2892.635646,1.29610506,232,Mn,6,P-1,2
qmof-fc0028f.cif,Mn2 H24 C40 N4 O8,811.405215,1.634162648,78,Mn,6,Cc,9
qmof-60b8e98.cif,Mn1 H24 C36 S4 N12 Cl2,890.84599,1.638011137,79,Mn,6,P-1,2
qmof-00caa56.cif,Co2 H30 C40 Br2 N4 O8,969.4136348,1.665590427,86,Co,6,P-1,2
qmof-e717cad.cif,Co4 H32 C44 N16 O12,1108.52711,1.816373592,108,Co,6,P2_1/c,14
qmof-d8bbac8.cif,Ni2 H24 C32 S4 N12,828.881203,1.647274803,74,Ni,6,C2/c,15
qmof-1750ab0.cif,Ni6 H40 C44 O28,1101.607491,2.063498194,118,Ni,6,P1,1
qmof-dfa389a.cif,Co2 H20 C26 N8 O6,602.028159,1.81589766,62,Co,6,P-1,2
qmof-74c1a1a.cif,Co2 H40 C48 N4 O12,1007.16633,1.620229191,106,Co,6,P-1,2
qmof-b5634c4.cif,Co8 H152 C184 N16 O48,5559.929048,1.142895424,408,Co,5,P2_1/c,14
qmof-a2a082e.cif,Ni2 H32 C32 N4 O8,683.8984579,1.743352109,78,Ni,6,P2_1/c,14
qmof-fdd7150.cif,Mn2 H48 C44 N12 O12,1136.843847,1.529017649,118,Mn,6,P-1,2
qmof-2cf4df0.cif,Ni2 H64 C72 N4 O16,1652.679655,1.365143854,158,Ni,6,P-1,2
qmof-169ee8c.cif,Mn2 H38 C42 N4 O12,1047.249035,1.428083642,98,Mn,6,P-1,2
qmof-77bb187.cif,Mn2 H22 C22 N2 O14 F8,702.1250015,1.892673725,70,Mn,6,P-1,2
qmof-7fc4a4e.cif,Mn4 H6 C18 O12 F2,487.6127437,2.288398782,42,Mn,6,C2/c,15
qmof-d208f10.cif,Ni2 H28 C36 N24,908.7254568,1.670460842,90,Ni,6,P2_1/c,14
qmof-c0331cb.cif,Fe3 H42 C66 N36,1961.818558,1.275411851,147,Fe,6,R-3,148
qmof-d7404eb.cif,Mn6 H24 C42 O30,1549.298537,1.434337372,102,Mn,6,C2,5
qmof-bdcee29.cif,Mn2 H22 C32 N10 O10,855.0346122,1.585613059,76,Mn,6,P-1,2
qmof-3ce38c4.cif,Ni4 H36 C16 N4 O24,809.8700308,1.851988961,84,Ni,6,P2_12_12_1,19
qmof-cc5bcaa.cif,Ni2 H16 C24 N4 O8,833.7089008,1.20658703,54,Ni,6,Pnn2,34
qmof-82b967d.cif,Co4 H36 C44 N12 O16,1130.720429,1.798349119,112,Co,6,P1,1
qmof-173ac53.cif,Ni16 H80 C80 O80,2843.936481,1.903787271,256,Ni,6,P1,1
qmof-308a75f.cif,Ni12 H24 C24 O48,1553.436905,1.90778874,108,Ni,6,P2_1/c,14
qmof-bdb54d3.cif,Co2 H24 C8 N4 Cl4 O8,491.6086853,1.904980777,50,Co,6,P2_1/c,14
qmof-27043a0.cif,Mn1 H8 C2 N10 O4,233.7995237,2.067421979,25,Mn,6,P-1,2
qmof-6ddfb5e.cif,Co5 H94 C126 N10 O34,3131.556279,1.371680381,269,Co,6,P-1,2
qmof-dd2349b.cif,Co6 P4 H12 C16 S4 Br4 O16,808.1383982,2.847145905,62,Co,4.666666667,P1,1
qmof-555bddc.cif,Co2 H24 C28 N8 O4,701.2119274,1.549702156,66,Co,4,P-1,2
qmof-63c5aad.cif,Co3 H20 C14 N2 O18,515.740225,2.192985953,57,Co,6,P1,1
qmof-a98e632.cif,Co2 Si2 H48 C40 N16 F12,1193.701275,1.606611285,120,Co,6,P2/c,13
qmof-0669721.cif,Fe4 H4 C8 O12,280.1476329,3.055501635,28,Fe,5,P2_1/c,14
qmof-22767fa.cif,Co4 H68 C104 N8 O16 F24,2645.234872,1.49240091,224,Co,5,P2/c,13
qmof-cc4910d.cif,Co1 H16 C18 S2 N6 O2,457.9090225,1.709541277,45,Co,6,P-1,2
qmof-a96ee8e.cif,Mn2 H36 C32 N6 O14,928.4794349,1.499679963,90,Mn,7,P-1,2
qmof-4d1f71a.cif,Mn6 H48 C60 N24 O24,1782.37026,1.694476651,162,Mn,6,P-1,2
qmof-abe6699.cif,Fe2 H20 C28 S4 N8,719.6205941,1.634790387,62,Fe,6,P1,1
qmof-7ee5fa4.cif,Co3 H32 C52 N4 O12,1379.280718,1.302192,103,Co,4.666666667,P-1,2
qmof-0689dbf.cif,Mn2 H12 C12 N16 O8,522.5849365,1.964367482,50,Mn,6,C2/c,15
qmof-f360972.cif,Co2 P4 H28 C18 N4 O12,682.1551836,1.787219539,68,Co,5,P-1,2
qmof-c0a3a59.cif,Co1 H22 C24 N4 O10,574.4266708,1.692218522,61,Co,6,P-1,2
qmof-35562f1.cif,Co2 H24 C20 N8,554.0103045,1.481642528,54,Co,4,P-42c,112
qmof-89c9846.cif,Mn2 H56 C56 N16 Cl4,1327.305533,1.507326232,134,Mn,6,P2_1/c,14
qmof-e095792.cif,Mn4 Si2 H40 C56 O20,2096.150478,1.036833958,122,Mn,6,C2/c,15
qmof-32a2afb.cif,Co3 P1 H12 C18 N15 O4,615.254389,1.916682479,53,Co,6,R3,146
qmof-4e42f7a.cif,Co2 H24 C36 S4 N4,665.5894103,1.892907316,70,Co,6,P2_1/c,14
qmof-2ce69a2.cif,Mn2 H36 C40 N8 O8,796.8879414,1.80588436,94,Mn,6,P2_1/c,14
qmof-f817326.cif,Mn1 H24 C28 S4 N8 O2,812.1299991,1.406203619,67,Mn,6,P-1,2
qmof-44487d9.cif,Co4 H84 C104 N8 O16,2436.663935,1.320407089,216,Co,5,P2/c,13
qmof-4070708.cif,Co4 H12 C8 N20 O12,568.8360661,2.382175017,56,Co,5,P2_1/c,14
qmof-972dddd.cif,Co4 H224 C216 S8 N32 O8,6600.78241,0.97823142,492,Co,6,P1,1
qmof-c3d8aec.cif,Ni4 H8 C16 S4 N8 O20,664.7116894,2.486417847,60,Ni,6,P2_1,4
qmof-a653a76.cif,Co2 H36 C36 N8 O8,886.0951852,1.549019509,90,Co,4,P2/c,13
qmof-412a7c1.cif,Co12 H72 C120 N12 O52,4910.605864,1.089227662,268,Co,6,I-43m,217
qmof-9c5aaea.cif,Co4 H20 C20 N8 O8,636.1967921,1.921438655,60,Co,4,Fdd2,43
qmof-08ed257.cif,Mn4 H18 C26 N10 O16,924.7095336,1.699185516,74,Mn,6,P-1,2
qmof-ee4a4ac.cif,Mn2 H16 C24 N4 O12,612.1224956,1.796602873,58,Mn,6,P-1,2
qmof-d3a4dfb.cif,Fe2 H28 C40 N4 O10,847.9926025,1.637762301,84,Fe,5,P1,1
qmof-155cb35.cif,Co2 H58 C64 N14 O4,1692.026854,1.182676736,142,Co,5,P1,1
qmof-01f1640.cif,Co2 H20 C28 N8 O8,719.909495,1.647769983,66,Co,6,C2/m,12
qmof-064173c.cif,Mn6 H32 C16 Cl12 O8,862.3716684,2.132516365,74,Mn,6,C2/c,15
qmof-9f5070f.cif,Co2 H8 C8 O12,264.3716729,2.600418441,30,Co,6,C2,5
qmof-8f48272.cif,Co10 H60 C68 O48,2070.029783,1.792479728,186,Co,6,P2_1/c,14
qmof-e7522cf.cif,Mn4 H40 C40 N32,1171.48161,1.68496287,116,Mn,6,P-1,2
qmof-52b9076.cif,Mn8 H224 C208 N32 Cl16,6334.205308,1.095535137,488,Mn,6,I4_1/a,88
qmof-5ff6ae2.cif,Fe4 H24 C48 O16,950.9426839,1.886029552,92,Fe,6,P2_1/c,14
qmof-a4d16f2.cif,Ni4 H32 C44 O22,1235.863069,1.54179228,102,Ni,6,P-1,2
qmof-32cb456.cif,Mn4 H32 C64 N32,1529.277551,1.594985098,132,Mn,6,P1,1
qmof-f3d0903.cif,Co2 H72 C104 S2 N16 O12,2345.111664,1.359368591,208,Co,6,P-1,2
qmof-7d6a409.cif,Ni2 H20 C8 N4 Cl4,365.6528727,1.959434331,38,Ni,6,C2/c,15
qmof-3a8aeef.cif,Co2 H32 C40 N12 O12,1362.068551,1.207696914,98,Co,6,C2/c,15
qmof-5cbdbc0.cif,Co6 H42 C54 N6 O24,1634.742371,1.5364045,132,Co,6,P-1,2
qmof-3ada75c.cif,Mn8 H16 C24 N56 O4,1430.534971,1.848267713,108,Mn,6,Pbcm,57
qmof-a2d700a.cif,Ni16 H116 C152 N20 O60,5143.184039,1.330753476,364,Ni,6,P2_1/c,14
qmof-c2d0a95.cif,Co5 H16 C36 N10 O24,1092.851448,1.925500746,91,Co,5.2,P-1,2
qmof-0e5e7e0.cif,Mn2 H32 C48 N8 O20,1114.289418,1.714777132,110,Mn,6,P-1,2
qmof-75309dd.cif,Mn6 H6 C24 O18,1408.106325,1.075403137,54,Mn,5,R-3,148
qmof-ec84fcf.cif,Co2 H16 C20 N28,720.0472117,1.767424231,66,Co,6,P-1,2
qmof-c3ff310.cif,Co1 H14 C13 N2 Cl2,317.5854098,1.71553098,32,Co,4,Cm,8
qmof-a5309c0.cif,Mn4 H12 C16 O16,438.814206,2.573256736,48,Mn,6,P2_1/c,14
qmof-51d789e.cif,Co2 H24 C16 O12,534.6530396,1.63435047,54,Co,6,P-1,2
qmof-c40a6a3.cif,Co2 P4 H44 C48 N4 O12,1113.894927,1.655692746,114,Co,5,P1,1
qmof-be16f87.cif,Co1 H18 C14 Br4 N2 O8,710.0859883,1.68571196,47,Co,6,P-1,2
qmof-d683874.cif,Ni8 H72 C80 N8 O40,2386.880062,1.568793967,208,Ni,6,P2_12_12,18
qmof-102b244.cif,Mn4 P4 H48 C28 N4 O20,979.1062293,1.872936995,108,Mn,5,P2_1/c,14
qmof-c39c398.cif,Ni2 H12 C8 N28,511.3318472,2.006146856,50,Ni,5,P-1,2
qmof-c8863c1.cif,Co1 H22 C26 N6 O10,655.2070308,1.615460794,65,Co,6,P-1,2
qmof-6a60a04.cif,Mn2 H28 C22 S4 N22 O2,918.6879323,1.573872644,80,Mn,6,P-1,2
qmof-83b2e7a.cif,Mn4 H32 C24 O32,844.7801645,2.06833933,92,Mn,6,P2_12_12_1,19
qmof-089b013.cif,Ni2 H40 C32 N8 O12,865.3002137,1.623680189,94,Ni,6,P-1,2
qmof-6c9e6ff.cif,Ni4 H36 C16 N4 O24,781.4353571,1.91937867,84,Ni,6,P2_12_12_1,19
qmof-2a8957f.cif,Co1 H32 C38 S2 N6 O4,944.3085266,1.3360188,83,Co,6,P-1,2
qmof-5b523bb.cif,Mn8 H32 C48 N8 Cl8 O16,1461.391472,1.931595267,120,Mn,6,P-1,2
qmof-da6b9c1.cif,Ni3 H48 C72 N8 O12,6172.129178,0.37484516,143,Ni,6,P622,177
qmof-b517439.cif,Ni1 H10 C8 S2 N4 O6,304.0180575,2.081075883,31,Ni,6,P-1,2
qmof-8c18e27.cif,Mn4 H100 C98 N12 O22,2545.270441,1.316326349,236,Mn,6,P-1,2
qmof-725832c.cif,Ni6 H144 C180 N12 O36,4646.889573,1.216145451,378,Ni,6,C2/c,15
qmof-78cdf5d.cif,Mn1 H20 C20 N8 O4,523.423839,1.55882444,53,Mn,6,P-1,2
qmof-334586a.cif,Co2 H20 C28 S4 N16,777.6691808,1.765216343,70,Co,4,C2/c,15
qmof-e7c0073.cif,Ni4 H42 C44 N30 O4,1345.488648,1.591781721,124,Ni,6,P1,1
qmof-cbd795c.cif,Co1 H46 C66 N6 O4,1433.771259,1.211486365,123,Co,6,P-1,2
qmof-ea27d90.cif,Co1 H20 C24 N8 Cl2 O4,678.9400668,1.502458251,59,Co,6,P-1,2
qmof-85841e2.cif,Co4 H92 C112 N12 O16,2737.206845,1.272599004,236,Co,5,P-1,2
qmof-82ec815.cif,Co3 H50 C66 O24,2576.128598,0.904928238,143,Co,5.333333333,P-1,2
qmof-afddd6f.cif,Co20 H104 C64 O72,3026.60272,1.757939721,260,Co,6,P-1,2
qmof-b7f9162.cif,Co2 H16 C8 O14,389.6922413,1.934865366,40,Co,6,P2_1,4
qmof-cc65277.cif,Mn2 H44 C60 N8 O12,1209.897481,1.618015193,126,Mn,6,C2/c,15
qmof-2042bd9.cif,Fe4 H24 C16 O24,629.2095605,2.173888557,68,Fe,6,P1,1
qmof-3d9c6c0.cif,Ni4 H36 C20 N12 O24,917.8747689,1.923701079,96,Ni,6,P2_12_12_1,19
qmof-c8323eb.cif,Mn4 H32 C48 N8 O16,1130.780892,1.75714062,108,Mn,5,P2_1/c,14
qmof-d5697d2.cif,Ni3 P4 H24 C14 N2 O18,654.0588521,2.052176131,65,Ni,6,P1,1
qmof-3b52b38.cif,Mn4 H32 C4 S4 N16 O24,782.4828,2.199391194,84,Mn,7,P2_1/c,14
qmof-1fbe13e.cif,Mn2 H32 C40 S4 N20 O12,1215.848629,1.67023086,110,Mn,6,P2_1/c,14
qmof-4c4d6c3.cif,Mn6 H80 C96 N4 O40,2560.826383,1.465013443,226,Mn,6,C2/c,15
qmof-4d83d6f.cif,Ni2 H24 C16 N12 O12,652.2372385,1.76640963,66,Ni,6,P2_1/c,14
qmof-ac7057e.cif,Co2 H40 C60 N4 O8,1472.209645,1.198810657,114,Co,6,P-1,2
qmof-9576b30.cif,Mn2 H18 C24 N16 Cl2,693.6239336,1.702829348,62,Mn,6,P-1,2
qmof-241c567.cif,Mn4 H32 C52 N4 O20,1433.357721,1.451105875,112,Mn,6,C2/c,15
qmof-f814e4c.cif,Co4 H12 C32 Cl4 O16,838.4746663,2.039787536,68,Co,4,P2_1/c,14
qmof-51e0230.cif,Co6 H6 C18 N18 Cl6,1435.662836,1.203685469,54,Co,5,P1,1
qmof-e218f10.cif,Ni2 H18 C26 N2 O10,604.6254658,1.746198662,58,Ni,6,P-1,2
qmof-d389267.cif,Co4 H88 C120 N12 O16,3053.45033,1.190857984,240,Co,6,P-1,2
qmof-69452ae.cif,Co2 H16 C12 O8,340.0296749,1.983277474,38,Co,6,C2/c,15
qmof-a2e17c9.cif,Co2 H22 C34 S2 N6 O10,809.2114964,1.75771898,76,Co,5,P-1,2
qmof-159e454.cif,Ni2 H36 C20 N4 O16,725.3832486,1.615947029,78,Ni,6,C2/c,15
qmof-7972915.cif,Co2 H36 C52 N8 O8,1071.284912,1.579119145,106,Co,6,P-1,2
qmof-c885572.cif,Mn2 H44 C76 N8 O8,1603.41944,1.353650656,138,Mn,6,Iba2,45
qmof-992547a.cif,Mn2 H40 C40 N10 O8,963.745997,1.54843674,100,Mn,6,P-1,2
qmof-db64b14.cif,Mn4 H44 C50 N8 O20,1319.270506,1.632102516,126,Mn,6,P1,1
qmof-1b4a7d4.cif,Mn2 H28 C28 S4 N8 O12,905.8856472,1.662039907,82,Mn,6,P-1,2
qmof-7338e21.cif,Cr12 H24 C72 O48,4723.021621,0.801922912,156,Cr,5,Fm-3m,225
qmof-33fad02.cif,Co4 H96 C128 N16 O24,3140.841177,1.310077421,268,Co,6,P2_1/c,14
qmof-2805614.cif,Co2 H48 C56 N14 O8,1386.662415,1.392624593,128,Co,6,P-1,2
qmof-26483dd.cif,Mn3 H30 C36 S6 N12,1033.870978,1.586716096,87,Mn,6,P-1,2
qmof-0d326c4.cif,Co1 H36 C40 N8 Cl2,827.6687009,1.521980901,87,Co,6,P-1,2
qmof-9493f53.cif,Mn4 H24 C16 O24,648.6237641,2.099533508,68,Mn,6,P2_12_12_1,19
qmof-2f238e2.cif,Mn16 H80 C80 N80 O40,3705.826192,1.649420073,296,Mn,6,Pbca,61
qmof-b04cfde.cif,Mn4 H28 C24 N36 O4,1055.046133,1.738327542,96,Mn,6,P1,1
qmof-97c50c1.cif,Mn2 H28 C40 N8 O10,937.4945775,1.577430924,88,Mn,5,P-1,2
qmof-030e486.cif,Fe1 H8 C6 N8 O6,336.2554724,1.698896268,29,Fe,6,P1,1
qmof-9690414.cif,Ni4 H56 C82 N20 O22,2470.22962,1.28274227,184,Ni,6,P-1,2
qmof-46c4388.cif,Co1 H30 C26 N4 O8,614.2051384,1.582856275,69,Co,6,P-1,2
qmof-f621598.cif,Mn2 H12 C8 O12,343.8507487,1.980230277,34,Mn,6,Cc,9
qmof-3749d3e.cif,Mn6 H24 C28 N4 O24,1060.397072,1.769739324,86,Mn,6,C2/c,15
qmof-ebfa7c9.cif,Co6 H86 C144 N12 O26,3646.082341,1.254205896,274,Co,6,C2,5
qmof-7d6715f.cif,Ni2 H36 C36 N8 O8,866.8726809,1.582449627,90,Ni,4,C2/c,15
qmof-cfc442e.cif,Ni2 H56 C54 N8 O14,1385.785233,1.388136351,134,Ni,5,P-1,2
qmof-baebcf8.cif,Co4 H64 C64 N16,2607.997744,0.823287412,148,Co,4,P4_2/nnm,134
qmof-ed37e1c.cif,Co3 H38 C48 N8 O12,1137.556162,1.599383365,109,Co,4.666666667,P-1,2
qmof-1196d66.cif,Mn4 H40 C48 N32 O8,1561.387778,1.5025082,132,Mn,6,I-4,82
qmof-624638b.cif,Mn24 H96 C192 O120,5787.314249,1.618631448,432,Mn,6,Ia-3,206
qmof-9bd9e21.cif,Mn2 H14 C14 N2 O12,431.2541793,1.97200147,44,Mn,7,C2/c,15
qmof-7da8960.cif,Co1 H16 C16 N2 Cl6 O6,540.6499611,1.854985625,47,Co,6,P-1,2
qmof-36fe364.cif,Mn4 H36 C52 N4 O20,1346.301278,1.549912147,116,Mn,6,P-1,2
qmof-a3f3e94.cif,Co4 H20 C24 S4 O22,764.1764419,2.225988823,74,Co,6,C2/c,15
qmof-8ee91a2.cif,Co8 H112 C144 N16 O32,4065.772822,1.245671417,312,Co,6,Pbca,61
qmof-cb3e9e8.cif,Co2 H28 C28 N8 Cl4,748.7962367,1.632725062,70,Co,4,P2_1,4
qmof-ef5f30c.cif,Fe6 H66 C114 N6 O26,4950.400343,0.761719394,218,Fe,6,R-3c,167
qmof-f7e01af.cif,Mn4 H28 C28 N8 Cl4 O16,936.8509472,1.939311459,88,Mn,6,Pc,7
qmof-8a1ead5.cif,Fe2 H4 C6 O14,282.1113281,2.423769122,26,Fe,6,P1,1
qmof-d6b4919.cif,Ni4 H144 C164 N16 O20,4036.915954,1.190317844,348,Ni,6,P2_1/c,14
qmof-7a3a859.cif,Mn2 H34 C44 N4 O8,927.2883017,1.534023751,92,Mn,5,P-1,2
qmof-cb7fcfc.cif,Mn3 H28 C28 O16,830.2964199,1.570602052,75,Mn,6,P1,1
qmof-f69d443.cif,Co2 H28 C40 N12 O8,1117.880465,1.370451156,90,Co,6,P-1,2
qmof-c0337e5.cif,Mn2 H28 C24 O8,547.4725426,1.68140033,62,Mn,4,P1,1
qmof-6be3a15.cif,Mn1 H22 C28 O12,664.7877887,1.512210181,63,Mn,6,P1,1
qmof-a6cc8b6.cif,Mn6 H88 C100 N4 O40,2620.892058,1.466985945,238,Mn,6,C2/c,15
qmof-1e1bf28.cif,Co1 H22 C28 N10 O6,692.2135061,1.567600038,67,Co,6,P-1,2
qmof-04b7d1b.cif,Mn2 H16 C20 N6 Cl2 O4,547.4006857,1.775084707,50,Mn,6,P-1,2
qmof-a326ecc.cif,Mn4 H36 C28 N12 O20,889.4992589,2.016928501,100,Mn,6,P2_1,4
qmof-44aa83b.cif,Co2 H40 C64 N8 O14,1696.526482,1.236124543,128,Co,6,P1,1
qmof-d7c1b0f.cif,Mn4 H48 C24 N4 Cl4 O16,1005.929069,1.667621176,100,Mn,6,P2_1/c,14
qmof-5935d54.cif,Mn3 H16 C20 N2 O12,540.9752342,1.968063315,53,Mn,6,P1,1
qmof-9aa7703.cif,Ni3 H30 C36 S6 N12,976.2725919,1.699492004,87,Ni,6,P-1,2
qmof-1646be5.cif,Ni8 H48 C32 O56,1507.654936,1.980587813,144,Ni,6,P2_12_12_1,19
qmof-ae4d8c6.cif,Mn4 H40 C48 N16 O20,1470.672114,1.558927174,128,Mn,5,P2_1/c,14
qmof-7dda0f8.cif,Co4 H36 C48 N8 O18,1382.093252,1.500121355,114,Co,6,P-1,2
qmof-8539847.cif,Mn2 H16 C20 S4 N12,616.4676705,1.784688341,54,Mn,6,C2/m,12
qmof-39217f4.cif,Co8 H64 C72 O64,2633.710318,1.528762883,208,Co,6,P2_1/c,14
qmof-32a3837.cif,Ni2 H22 C32 N8 O14,765.9011697,1.864442961,78,Ni,6,P-1,2
qmof-a8a3590.cif,Ni4 H48 C56 N8 O28,1435.659499,1.753221925,144,Ni,6,P2_1/c,14
qmof-7d5c3b3.cif,Co6 H36 C54 S6 N12 O12,1569.940094,1.682736052,126,Co,4,P-1,2
qmof-26d0da3.cif,Ni4 H96 C144 N8 O16,3713.735814,1.086143422,268,Ni,5,I4_1,80
qmof-6e3ecc7.cif,Mn4 H20 C16 O26,735.8359643,1.913806551,66,Mn,6,P1,1
qmof-136ec9b.cif,Co4 H72 C108 N16 O24,2638.025386,1.393349368,224,Co,5.25,P1,1
qmof-74db68b.cif,Mn4 H20 C24 N8 O22,799.7549657,2.060131563,78,Mn,7,P-1,2
qmof-03d42ea.cif,Co1 H18 C18 N4 O6,435.0801856,1.699513438,47,Co,6,P-1,2
qmof-3355877.cif,Mn1 H14 C18 N8 O4,498.884394,1.535415953,45,Mn,6,P-1,2
qmof-ac07b32.cif,Co4 H40 C68 N12 O16,2258.247015,1.115372519,140,Co,6,P1,1
qmof-6544ffe.cif,Ni4 H24 C26 S8 N16 O2,984.693766,1.82778222,80,Ni,6,P1,1
qmof-893d0b0.cif,Co2 H40 C54 Br8 N8 O8,1450.349274,1.930389902,120,Co,4,P-1,2
qmof-0fb4857.cif,Mn4 H16 C16 N12 Cl4 O8,741.369751,1.939550287,60,Mn,6,C2/c,15
qmof-7bfdb52.cif,Co4 H76 C76 N16 O20,2051.745303,1.431902785,192,Co,5,P2_1/c,14
qmof-d8703ab.cif,Co2 H24 C24 N8 O8,625.8820925,1.778550973,66,Co,6,C2/c,15
qmof-6c2188f.cif,Mn1 H28 C40 S2 N10 O2,981.8764645,1.352586502,83,Mn,6,P-1,2
qmof-d698e20.cif,Ni2 H24 C24 S4 N12,700.0692711,1.722459873,66,Ni,6,P-1,2
qmof-b13adc9.cif,Co1 H24 C22 N2 O6,508.1947496,1.540209863,55,Co,6,P-1,2
qmof-dbe1820.cif,Mn2 H38 C44 N4 O14,1047.225176,1.516944953,102,Mn,6,P-1,2
qmof-ad11f37.cif,Ni2 H24 C36 S4 N4,673.4914267,1.869515537,70,Ni,6,P2_1/c,14
qmof-1c3e47f.cif,Fe2 H16 C12 S4 N20 O4,673.1063186,1.836263754,58,Fe,6,C2/c,15
qmof-4b1ef88.cif,Co3 H48 C72 N30,2123.297484,1.181024604,153,Co,6,P-1,2
qmof-a7e7244.cif,Mn4 H120 C112 N8 O40,3134.920472,1.291351087,284,Mn,6,P2_1/c,14
qmof-9651473.cif,Ni2 H44 C46 N8 O10,1045.573256,1.566365393,110,Ni,6,P-1,2
